station_number,station_name,county,latitude,longitude
2115,HACKETSTOWN_(Voc.Sch.),Carlow,52.857,-6.552
375,Oak_Park,Carlow,52.857,-6.909
6114,POLLMOUNTY FISH FARM,Carlow,52.467,-6.902
4515,TULLOW_(Ardoyne_Glebe),Carlow,52.770,-6.689
4415,TULLOW_(Waterworks),Carlow,52.803,-6.739
6337,ARVAGH(Cormore),Cavan,53.906,-7.537
4131,BAILIEBORO(Leiter),Cavan,53.926,-7.008
4031,BAILIEBORO_(Duneena),Cavan,53.940,-7.018
4637,BALLYCONNELL_(Mullaghduff),Cavan,54.104,-7.568
2030,BALLYJAMESDUFF_(Kilcully),Cavan,53.855,-7.201
5037,BELTURBET_(Naughan),Cavan,54.134,-7.437
675,Ballyhaise,Cavan,54.051,-7.306
4137,CAVAN (DRUMCONNICK),Cavan,53.991,-7.391
2037,CUILCAGH MTNS.,Cavan,54.160,-7.801
5837,KILLESHANDRA_(Bawn),Cavan,54.006,-7.539
3037,SWANLINBAR,Cavan,54.191,-7.702
5637,TULLYCO_(Artonagh),Cavan,54.002,-7.171
6031,VIRGINIA,Cavan,53.834,-7.072
2321,BALLYVAUGHAN_Ballyconry,Clare,53.120,-9.168
1718,CARRON,Clare,53.026,-9.073
718,COROFIN,Clare,52.942,-9.068
2318,CORROFIN_(Soheen),Clare,52.902,-9.058
5911,CRAGGAUNOWEN,Clare,52.806,-8.788
2618,CRUSHEEN_(Ballinruan),Clare,52.926,-8.819
2518,CRUSHEEN_(Cloonawillin),Clare,52.891,-8.889
1117,DOO-LOUGH,Clare,52.801,-9.321
418,DROMOLAND CASTLE,Clare,52.774,-8.902
2217,ENNISTYMON_(Deerpark),Clare,52.937,-9.285
417,INAGH-Mt.Callan,Clare,52.838,-9.236
6611,KILBANE_(Clongaheen),Clare,52.804,-8.576
6711,KILDYSART_(Cappanavarnogue),Clare,52.656,-9.117
2117,KILKEE-(Moveen),Clare,52.639,-9.685
6019,KILLALOE DOCKS,Clare,52.806,-8.443
1317,KILMIHIL_(Shyan),Clare,52.725,-9.358
2921,LISDOONVARNA_(Treatment-Plant),Clare,53.021,-9.306
1417,MULLAGH_Carrowlagan,Clare,52.792,-9.401
2218,NEWMARKET-ON-FERGUS_(Langough),Clare,52.772,-8.889
2017,QUILTY,Clare,52.809,-9.456
6819,SCARRIFF_(Fossabeg),Clare,52.909,-8.538
518,Shannon_Airport,Clare,52.687,-8.917
1218,TULLA,Clare,52.868,-8.756
5704,AHERLAMORE,Cork,51.843,-8.722
6204,BALLINCURRIG_(Peafield),Cork,52.007,-8.200
4602,BALLINEEN_(Carbery),Cork,51.725,-8.973
5002,BALLINEEN_Caherkirky,Cork,51.688,-8.985
3004,BALLINGEARY_(Voc.Sch.),Cork,51.850,-9.233
5702,BALLINSPITTLE_(Kilkerran),Cork,51.675,-8.590
7906,BALLYHOOLY (CASTLEBLAGH),Cork,52.124,-8.406
4404,BALLYMACODA_(Mountcotton),Cork,51.876,-7.919
2604,BALLYVOURNEY_(Clountycarty),Cork,51.887,-9.142
5602,BANDON_(The-Gully),Cork,51.738,-8.753
